Name,Revenue,Profits,Assets,MarketValue,Employees,Industry,City,State,Country,Region,EconomicPole,Ticker,CeoTitle
Migros,28486,832.6,62095,0,76183,Food and Drug Stores,Zurich,0,Switzerland,Europe,Developed ,  ,"Chief Executive Officer, Director"
China Poly Group,26675,839.6,91455,0,70437,Real Estate,Beijing,0,China,Asia,Growth,  ,"President, Director"
LG Display,25100,854.7,19259,0,49205,"Electronics, Electrical Equip.",Seoul,0,South Korea,Asia,Growth,LPL   ,"Chief Executive Officer, Vice Chairman"
GS Caltex,25061,859.4,16164,0,3969,Petroleum Refining,Seoul,0,South Korea,Asia,Growth,  ,"Chief Executive Officer, Caltex"
Daiwa House Industry,26596,862.8,28989,0,47143,"Engineering, Construction",Osaka,0,Japan,Asia,Developed ,DWAHY ,"Chairman, Chief Executive Officer, President"
Aviation Industry Corp. of China,60252,882.7,143814,0,542236,Aerospace and Defense,Beijing,0,China,Asia,Growth,  ,President
Best Buy,39745,897,13519,10489,125000,Specialty Retailers,Richfield,Minnesota,U.S.,N. America,Developed ,BBY   ,"President, Chief Executive Officer"
Swiss Life,21365,906.4,189120,0,7595,"Insurance: Life, Health (stock)",Zurich,0,Switzerland,Europe,Developed ,SZLMY ,Group Chief Executive Officer
Alimentation Couche-Tard,34530,932.8,10838,0,80000,Specialty Retailers,"Laval, Quebec",0,Canada,N. America,Developed ,ANCUF ,"President, Chief Executive Officer"
International Paper,22365,938,30587,16874,56000,Miscellaneous,Memphis,Tennessee,U.S.,N. America,Developed ,IP    ,"Chairman of the Board, Chief Executive Officer"
Old Mutual,20923,938.1,196810,0,64043,"Insurance: Life, Health (stock)",London,0,Britain,Europe,Developed ,ODMTY ,"Group Chief Executive, Director"
Royal Ahold,42378,945.1,17249,0,129000,Food and Drug Stores,Zaandam,0,Netherlands,Europe,Developed ,AHONY ,Chief Executive Officer
Suzuki Motor,26494,971.8,24044,0,61601,Motor Vehicles and Parts,Hamamatsu,0,Japan,Asia,Developed ,SZKMY ,"President, Chief Executive Officer, Chief Operating Officer"
Rabobank,24019,976.2,728159,0,45658,Banks: Commercial and Savings,Utrecht,0,Netherlands,Europe,Developed ,  ,"Chairman, Chief Executive Officer"
China Railway Engineering,99435,983.1,110319,0,281824,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,President
Peugeot,60651,997.2,53343,0,187347,Motor Vehicles and Parts,Paris,0,France,Europe,Developed ,PUGOY ,Chairman
FedEx,47453,1050,37069,43678,323035,"Mail, Package, and Freight Delivery",Memphis,Tennessee,U.S.,N. America,Developed ,FDX   ,"Chairman, President, Chief Executive Officer"
Wilmar International,38777,1056.1,37939,0,92000,Food Production,Singapore,0,Singapore,Asia,Developed ,WLMIY ,"Chairman, Chief Executive Officer"
Heineken Holding,23208,1061.6,40965,0,73767,Beverages,Amsterdam,0,Netherlands,Europe,Developed ,HKHHY ,"Chair, Chief Executive Officer"
Samsung Life Insurance,24501,1071.1,196505,0,5348,"Insurance: Life, Health (stock)",Seoul,0,South Korea,Asia,Growth,0,Chief Executive Officer
Macy's,27079,1072,20576,13746,157500,General Merchandisers,Cincinnati,Ohio,U.S.,N. America,Developed ,M     ,"Chairman, Chief Executive Officer"
ZF Friedrichshafen,32340,1080.4,32947,0,138269,Motor Vehicles and Parts,Friedrichshafen,0,Germany,Europe,Developed ,  ,Chief Executive Officer
Carrefour,87474,1087.1,48982,0,380920,Food and Drug Stores,Boulogne-Billancourt,0,France,Europe,Developed ,CRRFY ,"Chairman, Chief Executive Officer"
Greenland Holding Group,33024,1095.8,92466,0,25621,Real Estate,Shanghai,0,China,Asia,Growth,  ,"President, Chairman, Chief Executive Officer"
Beijing Automotive Group,54933,1097.5,45852,0,126000,Motor Vehicles and Parts,Beijing,0,China,Asia,Growth,  ,"Chief Executive Officer, President"
China Railway Construction,95652,1105.8,108671,0,284100,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,President
Mazda Motor,28376,1119.7,22677,0,46398,Motor Vehicles and Parts,Hiroshima,0,Japan,Asia,Developed ,MZDAY ,"President, Chief Executive Officer"
Shandong Weiqiao Pioneering,53026,1120.9,27049,0,140358,Miscellaneous,Shandong,0,China,Asia,Growth,0,Chairman
Amer International Group,47795,1140.5,18559,0,17683,"Electronics, Electrical Equip.",Shenzhen,0,China,Asia,Growth,  ,"Founder, Chairman of the Board"
China COSCO Shipping,22965,1144.5,55642,0,82708,Shipping,Shanghai,0,China,Asia,Growth,  ,"President, Chief Executive Officer"
PowerChina,45607,1170.4,77400,0,196368,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,President
Tokyo Electric Power,50561,1172.7,121550,0,42855,Utilities,Tokyo,0,Japan,Asia,Developed ,TKECY ,President
Kansai Electric Power,27038,1172.8,65959,0,33089,Utilities,Osaka,0,Japan,Asia,Developed ,0,"President, Director"
Energy Transfer Equity,42126,1189,71189,7449,30078,Pipelines,Dallas,Texas,U.S.,N. America,Developed ,ETE   ,0
Cathay Life Insurance,22881,1204.9,157732,0,32296,"Insurance: Life, Health (stock)",Taipei,0,Taiwan,Asia,Growth,  ,President
Nippon Steel & Sumitomo Metal,40878,1211.3,57173,0,92504,Metals,Tokyo,0,Japan,Asia,Developed ,NSSMY ,"Chairman, President, Chief Executive Officer"
China Huadian,31437,1212.6,117240,0,109431,Utilities,Beijing,0,China,Asia,Growth,  ,"Director, Board, President, Chief Executive Officer, Party Leadership Group"
TIAA,35181,1214.2,517963,0,12735,"Insurance: Life, Health (Mutual)",New York,New York,U.S.,N. America,Developed ,  ,"President, Chief Executive Officer"
Cardinal Health,102531,1215,30142,26989,34500,Wholesalers: Health Care,Dublin,Ohio,U.S.,N. America,Developed ,CAH   ,"Chairman, Chief Executive Officer"
Bharat Petroleum,29082,1219.2,14164,0,13535,Petroleum Refining,Mumbai,0,India,South Asia,Growth,0,"Chairman, Managing Director"
Tyson Foods,41373,1220,23004,26331,113000,Food Production,Springdale,Arkansas,U.S.,N. America,Developed ,TSN   ,"President, Chief Executive Officer"
Sony,67519,1231.1,148366,0,125300,"Electronics, Electrical Equip.",Tokyo,0,Japan,Asia,Developed ,SNE   ,"President, Chief Executive Officer"
Trafigura Group,97237,1235.9,39087,0,5248,Trading,Singapore,0,Singapore,Asia,Developed ,  ,Chief Executive Officer
CNP Assurances,49305,1254,427672,0,4740,"Insurance: Life, Health (stock)",Paris,0,France,Europe,Developed ,CNPAY ,Chief Executive Officer
Humana,54289,1276,24705,27263,50100,Health Care: Insurance and Managed Care,Louisville,Kentucky,U.S.,N. America,Developed ,HUM   ,"President, Chief Executive Officer"
Michelin,23516,1295.6,25953,0,105798,Motor Vehicles and Parts,Clermont-Ferrand,0,France,Europe,Developed ,MGDDY ,"Chairman, Chief Executive Officer, President"
China Shipbuilding Industry,36012,1307.7,68229,0,181781,Industrial Machinery,Beijing,0,China,Asia,Growth,  ,"President, Chief Executive Officer"
Koç Holding,25515,1309.9,25013,0,91304,Energy,Istanbul,0,Turkey,MENAT,Growth,KHOLY ,Chief Executive Officer
Lloyds Banking Group,47192,1313.9,1188816,0,75306,Banks: Commercial and Savings,London,0,Britain,Europe,Developed ,LYG   ,Group Chief Executive
Electricité de France,83202,1316.7,302986,0,156312,Utilities,Paris,0,France,Europe,Developed ,ECIFY ,"Chairman, Chief Executive Officer"
Sompo Japan Nipponkoa Holdings,27123,1329.3,90646,0,45326,Insurance: Property and Casualty (Stock),Tokyo,0,Japan,Asia,Developed ,SMPNY ,"President, Chief Executive Officer"
Seven & I Holdings,50099,1333.6,48216,0,53993,Food and Drug Stores,Tokyo,0,Japan,Asia,Developed ,SVNDY ,"President, Representative Director"
Compass Group,27157,1341.7,13247,0,515864,Food Services,Chertsey,0,Britain,Europe,Developed ,CMPGY ,Chief Executive Officer
New China Life Insurance,25129,1368.6,101725,0,52474,"Insurance: Life, Health (stock)",Beijing,0,China,Asia,Growth,0,"Chairman of the Board, Chief Executive Officer"
Shenhua Group,37612,1390.5,143436,0,208432,"Mining, Crude-Oil Production",Beijing,0,China,Asia,Growth,  ,"President, Chief Executive Officer"
JBS,48870,1391.9,30785,0,238020,Food Production,São Paulo,0,Brazil,Latin America  ,Growth,JBSAY ,Chief Executive Officer
Aviva,36252,1402.5,571610,0,29639,"Insurance: Life, Health (stock)",London,0,Britain,Europe,Developed ,AV    ,"Group Chief Executive Officer, Director"
BAE Systems,25647,1402.5,29596,0,75000,Aerospace and Defense,London,0,Britain,Europe,Developed ,BAESY ,"President, Chief Executive Officer"
Chubu Electric Power,23774,1413.9,49288,0,30659,Utilities,Nagoya,0,Japan,Asia,Developed ,0,"President, Chief Executive Officer"
Pertamina,41763,1420.2,45519,0,27971,Petroleum Refining,Jakarta,0,Indonesia,Asia,Growth,  ,"President, Chief Executive Officer"
Danone,24861,1422.1,35532,0,99781,Food Consumer Products,Paris,0,France,Europe,Developed ,DANOY ,"Vice Chairman, Chief Executive Officer, Director"
Massachusetts Mutual Life Insurance,38243,1425.3,266550,0,11593,"Insurance: Life, Health (Mutual)",Springfield,Massachusetts,U.S.,N. America,Developed ,  ,"Chairman, President, Chief Executive Officer"
Hitachi,83584,1434,111684,0,335244,"Electronics, Electrical Equip.",Tokyo,0,Japan,Asia,Developed ,HTHIY ,"President, Chief Executive Officer, Director"
Saint-Gobain,46169,1436.5,48723,0,168114,"Building Materials, Glass",Courbevoie,0,France,Europe,Developed ,CODYY ,"Chairman, Chief Executive Officer, President"
Power Corp. of Canada,29933,1437.8,304456,0,26500,"Insurance: Life, Health (stock)","Montreal, Quebec",0,Canada,N. America,Developed ,PWCDF ,"Deputy Chairman, President, Co-Chief Executive Officer"
China Aerospace Science & Industry,27867,1470.8,36732,0,142709,Aerospace and Defense,Beijing,0,China,Asia,Growth,  ,Chairman of the Board
Dongfeng Motor Group,82817,1479.8,56688,0,191950,Motor Vehicles and Parts,Wuhan,0,China,Asia,Growth,  ,"Chairman, Chief Executive Officer, Secretary"
Dai-ichi Life Insurance,61090,1487,444251,0,54617,"Insurance: Life, Health (stock)",Tokyo,0,Japan,Asia,Developed ,DCNSF ,"President, Representative Director"
China South Industries Group,70081,1487.9,60348,0,238287,Aerospace and Defense,Beijing,0,China,Asia,Growth,  ,President
Fresenius,30645,1506.4,46891,0,222305,Health Care: Medical Facilities,Bad Homburg,0,Germany,Europe,Developed ,FSNUY ,"Chairman, Management Board"
MS&AD Insurance,41758,1512,180670,0,40617,Insurance: Property and Casualty (Stock),Tokyo,0,Japan,Asia,Developed ,MSADY ,"Representative Director, President, Chief Executive Officer"
Tesoro,28150,1540,16332,10311,6016,Petroleum Refining,San Antonio,Texas,U.S.,N. America,Developed ,TSO   ,"President, Chief Executive Officer"
Schneider Electric,29551,1560.8,46247,0,160843,"Electronics, Electrical Equip.",Rueil-Malmaison,0,France,Europe,Developed ,SBGSY ,"Chairman, President, Chief Executive Officer"
Johnson Controls,40204,1563,29673,25262,139000,Motor Vehicles and Parts,Milwaukee,Wisconsin,U.S.,N. America,Developed ,JCI   ,"President, Chief Executive Officer"
DZ Bank,31195,1570.7,443540,0,28213,Banks: Commercial and Savings,Frankfurt,0,Germany,Europe,Developed ,  ,Chief Executive Officer
LM Ericsson,29282,1606.8,33740,0,116988,Network and Other Communications Equipment,Stockholm,0,Sweden,Europe,Developed ,ERIC  ,"President, Chief Executive Officer"
Panasonic,62921,1609.8,49804,0,249520,"Electronics, Electrical Equip.",Osaka,0,Japan,Asia,Developed ,PCRFY ,President
China Electronics Technology Group,26410,1636.9,33981,0,140493,Aerospace and Defense,Beijing,0,China,Asia,Growth,  ,Chairman
International Airlines Group,25356,1658.4,30662,0,60862,Airlines,Hounslow,0,Britain,Europe,Developed ,ICAGY ,"Chief Executive Officer, Director"
Gas Natural Fenosa,28858,1666.1,52281,0,19939,Energy,Barcelona,0,Spain,Europe,Developed ,GASNY ,"Chief Executive Officer, Director"
Tata Motors,42092,1683.9,40669,0,76500,Motor Vehicles and Parts,Mumbai,0,India,South Asia,Growth,TTM   ,"Chief Executive Officer, Director, Managing"
Deutsche Post,68358,1708.3,41134,0,450508,"Mail, Package, and Freight Delivery",Bonn,0,Germany,Europe,Developed ,DPSGY ,Chief Executive Officer
China Communications Construction,67764,1708.8,140783,0,136655,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,"Executive Director, Chairman"
Indian Oil,54711,1713.7,36550,0,34659,Petroleum Refining,New Delhi,0,India,South Asia,Growth,  ,Chairman
Manulife Financial,26933,1713.9,507339,0,33500,"Insurance: Life, Health (stock)","Toronto, Ontario",0,Canada,N. America,Developed ,MFC   ,"President, Chief Executive Officer"
China Telecommunications,61796,1715.7,118994,0,417101,Telecommunications,Beijing,0,China,Asia,Growth,  ,"Executive Director, Chairman, Chief Executive Officer"
Meiji Yasuda Life Insurance,35623,1783.4,348499,0,41045,"Insurance: Life, Health (Mutual)",Tokyo,0,Japan,Asia,Developed ,  ,"President, Director"
Woolworths,50618,1784.6,19469,0,197000,Food and Drug Stores,Bella Vista,0,Australia,Asia,Developed ,WOLWF ,"Managing Director, Chief Executive Officer"
Volvo,37061,1785.7,44394,0,93983,Motor Vehicles and Parts,Göteborg,0,Sweden,Europe,Developed ,VLVLY ,"Chief Executive Officer, President, Director"
Jardine Matheson,37007,1797,66955,0,440000,Specialty Retailers,Hong Kong,0,China,Asia,Growth,JMHLY ,"Chairman, Managing Director"
Canon,31401,1819.5,36812,0,189571,"Computers, Office Equipment",Tokyo,0,Japan,Asia,Developed ,CAJ   ,"Chairman, Chief Executive Officer, Head"
Zurich Insurance Group,60568,1842,381972,0,54335,Insurance: Property and Casualty (Stock),Zurich,0,Switzerland,Europe,Developed ,ZURVY ,Group Chief Executive Officer
Archer Daniels Midland,67702,1849,40157,21320,32300,Food Production,Chicago,Illinois,U.S.,N. America,Developed ,ADM   ,"Chief Executive Officer, President"
China Aerospace Science & Technology,30554,1854.2,55006,0,161022,Aerospace and Defense,Beijing,0,China,Asia,Growth,  ,Chairman of the Board
State Bank of India,41681,1867.3,448658,0,293459,Banks: Commercial and Savings,Mumbai,0,India,South Asia,Growth,SBKFF ,"Chairman, Chief Executive Officer"
UniCredit Group,34576,1879.4,934603,0,125510,Banks: Commercial and Savings,Milan,0,Italy,Europe,Developed ,UNCFF ,Chief Executive Officer
CRRC,37837,1880.6,48000,0,186963,Industrial Machinery,Beijing,0,China,Asia,Growth,  ,Chairman
Lufthansa Group,35559,1883.6,35260,0,103158,Airlines,Cologne,0,Germany,Europe,Developed ,DLAKY ,"Chairman, Chief Executive Officer"
Mitsubishi Electric,36604,1903.3,36127,0,135160,"Electronics, Electrical Equip.",Tokyo,0,Japan,Asia,Developed ,MIELY ,"President, Chief Executive Officer, Director"
BHP Billiton,52267,1910,124580,0,42829,"Mining, Crude-Oil Production",Melbourne,0,Australia,Asia,Developed ,BHP   ,"Chief Executive Officer, Executive Director"
ABB,35481,1933,41356,0,135800,Industrial Machinery,Zurich,0,Switzerland,Europe,Developed ,ABB   ,"Chief Executive Officer, Director"
Royal Dutch Shell,272156,1939,340157,0,90000,Petroleum Refining,The Hague,0,Netherlands,Europe,Developed ,RDS.A ,"Chief Executive Officer, Director"
Emirates Group,22734,1940,32448,0,61205,Airlines,Dubai,0,UAE,MENAT,Growth,  ,"Chairman, Chief Executive Officer"
Deere,28863,1940,57948,24277,57180,Construction and Farm Machinery,Moline,Illinois,U.S.,N. America,Developed ,DE    ,"Chairman, Chief Executive Officer"
DuPont,27940,1953,41166,55289,52000,Chemicals,Wilmington,Delaware,U.S.,N. America,Developed ,DD    ,0
Publix Super Markets,32619,1965,16359,0,180000,Food and Drug Stores,Lakeland,Florida,U.S.,N. America,Developed ,  ,0
Northrop Grumman,23526,1990,24454,35809,65000,Aerospace and Defense,Falls Church,Virginia,U.S.,N. America,Developed ,NOC   ,"Chairman, Chief Executive Officer, President"
EMC,24704,1990,46612,51889,72000,"Computers, Office Equipment",Hopkinton,Massachusetts,U.S.,N. America,Developed ,EMC   ,"Chairman, President, Chief Executive Officer"
Itochu,42345,2002.3,71511,0,120413,Trading,Osaka,0,Japan,Asia,Developed ,ITOCY ,"President, Chief Executive Officer"
Magna International,33871,2013,19706,0,128975,Motor Vehicles and Parts,"Aurora, Ontario",0,Canada,N. America,Developed ,MGA   ,"Chief Executive Officer, Director"
Midea Group,22174,2021.9,19841,0,93299,"Electronics, Electrical Equip.",Foshan,0,China,Asia,Growth,0,"Chairman, President"
Wesfarmers,51931,2029.1,31045,0,205000,Food and Drug Stores,Perth,0,Australia,Asia,Developed ,WFAFY ,"Managing Director, Chief Executive Officer"
Denso,37688,2034.6,44874,0,151775,Motor Vehicles and Parts,Kariya,0,Japan,Asia,Developed ,DNZOY ,"President, Chief Executive Officer"
Kroger,109830,2039,33897,36815,431000,Food and Drug Stores,Cincinnati,Ohio,U.S.,N. America,Developed ,KR    ,"Chief Executive Officer, Director"
East Japan Railway,23883,2043.4,69316,0,86127,Railroads,Tokyo,0,Japan,Asia,Developed ,EJPRY ,"President, Chief Executive Officer"
Schlumberger,35475,2072,68005,0,95000,"Oil and Gas Equipment, Services",Houston,Texas,U.S.,N. America,Developed ,SLB   ,0
Raytheon,23247,2074,29281,36666,61000,Aerospace and Defense,Waltham,Massachusetts,U.S.,N. America,Developed ,RTN   ,"Chairman, Chief Executive Officer"
Cigna,37876,2094,57088,35101,39300,Health Care: Insurance and Managed Care,Bloomfield,Connecticut,U.S.,N. America,Developed ,CI    ,"President, Chief Executive Officer"
Caterpillar,47011,2102,78497,44571,112200,Construction and Farm Machinery,Peoria,Illinois,U.S.,N. America,Developed ,CAT   ,"Chairman, Chief Executive Officer"
China Everbright Group,32901,2114.3,538517,0,59500,Banks: Commercial and Savings,Beijing,0,China,Asia,Growth,  ,Chief Executive Officer
Tokio Marine Holdings,38143,2120.3,194477,0,36902,Insurance: Property and Casualty (Stock),Tokyo,0,Japan,Asia,Developed ,TKOMY ,"President, Group Chief Executive Officer, Director"
HCA,43591,2129,32744,30890,203500,Health Care: Medical Facilities,Nashville,Tennessee,U.S.,N. America,Developed ,HCA   ,"President, Chief Executive Officer"
Allstate,35653,2171,104656,25486,41350,Insurance: Property and Casualty (Stock),Northbrook,Illinois,U.S.,N. America,Developed ,ALL   ,"Chairman, President, Chief Executive Officer"
American International Group,58327,2196,496943,61283,66400,Insurance: Property and Casualty (Stock),New York,New York,U.S.,N. America,Developed ,AIG   ,"President, Chief Executive Officer, Director"
América Móvil,56361,2209.4,75081,0,195475,Telecommunications,Mexico City,0,Mexico,Latin America  ,Growth,AMX   ,"Chief Executive Officer, Director"
China Southern Power Grid,74697,2222.5,98560,0,303301,Utilities,Guangzhou,0,China,Asia,Growth,  ,"President, Director"
China State Construction Engineering,140159,2251.3,166279,0,241474,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,President
Assicurazioni Generali,102567,2251.8,543696,0,76191,"Insurance: Life, Health (stock)",Trieste,0,Italy,Europe,Developed ,ARZGY ,Group Chief Executive Officer
McKesson,192487,2258,56563,0,68000,Wholesalers: Health Care,San Francisco,California,U.S.,N. America,Developed ,MCK   ,"Chairman, President, Chief Executive Officer"
Exelon,29447,2269,95384,33052,29762,Utilities,Chicago,Illinois,U.S.,N. America,Developed ,EXC   ,"President, Chief Executive Officer"
Vinci,43618,2269.6,67504,0,185452,"Engineering, Construction",Rueil-Malmaison,0,France,Europe,Developed ,VCISY ,"Chairman, Chief Executive Officer"
United Services Automobile Assn.,24361,2272,137077,0,28681,Insurance: Property and Casualty (Stock),San Antonio,Texas,U.S.,N. America,Developed ,  ,"Executive Vice President, Chief Executive Officer"
TJX,30945,2277.7,11500,51914,216000,Specialty Retailers,Framingham,Massachusetts,U.S.,N. America,Developed ,TJX   ,0
Kia Motors,43792,2326.3,39222,0,50348,Motor Vehicles and Parts,Seoul,0,South Korea,Asia,Growth,0,"Chairman, President, Chief Executive Officer"
Bridgestone,31318,2349.1,31558,0,144303,Motor Vehicles and Parts,Tokyo,0,Japan,Asia,Developed ,BRDCY ,Chief Executive Officer
Costco Wholesale,116199,2377,33440,69183,161000,Specialty Retailers,Issaquah,Washington,U.S.,N. America,Developed ,COST  ,"President, Chief Executive Officer, Director"
Aetna,60337,2390.2,53424,39278,50100,Health Care: Insurance and Managed Care,Hartford,Connecticut,U.S.,N. America,Developed ,AET   ,"Chairman, Chief Executive Officer"
Dalian Wanda Group,27377,2431.2,139115,0,128518,Real Estate,Beijing,0,China,Asia,Growth,  ,Chairman of the Board
Enel,83926,2436,175073,0,67914,Utilities,Rome,0,Italy,Europe,Developed ,ENLAY ,"Chief Executive Officer, General Manager"
Evergrande Real Estate Group,21184,2474.1,116582,0,83372,Real Estate,Guangzhou,0,China,Asia,Growth,EGRNY ,"Vice Chairman, Chief Executive Officer"
Express Scripts Holding,101752,2476.4,53243,43467,25900,Miscellaneous,St. Louis,Missouri,U.S.,N. America,Developed ,ESRX  ,0
China Resources National,76574,2489.2,153154,0,447348,General Merchandisers,Hong Kong,0,China,Asia,Growth,  ,Chief Executive Officer
H & M Hennes & Mauritz,21627,2499,9843,0,104634,Specialty Retailers,Stockholm,0,Sweden,Europe,Developed ,HNNMY ,"Chief Executive Officer, Director"
Enterprise Products Partners,27028,2521.2,48952,49764,6800,Pipelines,Houston,Texas,U.S.,N. America,Developed ,EPD   ,0
Lowe's,59074,2546,31266,67981,225000,Specialty Retailers,Mooresville,North Carolina,U.S.,N. America,Developed ,LOW   ,"Chairman, Chief Executive Officer, President"
Anthem,79157,2560,61718,36325,53000,Health Care: Insurance and Managed Care,Indianapolis,Indiana,U.S.,N. America,Developed ,ANTM  ,"Chief Executive Officer, Director, President"
Iberdrola,34852,2686.2,113686,0,27169,Utilities,Bilbao,0,Spain,Europe,Developed ,IBDRY ,Chief Executive Officer
AIA Group,23274,2691,167622,0,20000,"Insurance: Life, Health (stock)",Hong Kong,0,China,Asia,Growth,AAGIY ,"Executive Director, Chief Executive Officer, Group, President"
Hyundai Mobis,33196,2701.9,32223,0,25216,Motor Vehicles and Parts,Seoul,0,South Korea,Asia,Growth,0,Chief Executive Officer
Emerson Electric,22304,2710,22088,34973,110800,"Electronics, Electrical Equip.",St. Louis,Missouri,U.S.,N. America,Developed ,EMR   ,"Chairman, Chief Executive Officer"
Duke Energy,24002,2816,121156,55572,29188,Utilities,Charlotte,North Carolina,U.S.,N. America,Developed ,DUK   ,"President, Chief Executive Officer"
China Pacific Insurance (Group),39336,2820.9,142270,0,91761,"Insurance: Life, Health (stock)",Shanghai,0,China,Asia,Growth,CHPXF ,President
AstraZeneca,24708,2825,60124,0,61500,Pharmaceuticals,London,0,Britain,Europe,Developed ,AZN   ,"Chief Executive Officer, Director"
Christian Dior,41901,2840.3,66879,0,113208,Apparel,Paris,0,France,Europe,Developed ,CHDRY ,"Chairman, Chief Executive Officer, President"
Marathon Petroleum,64566,2852,43115,19677,45440,Petroleum Refining,Findlay,Ohio,U.S.,N. America,Developed ,MPC   ,"President, Chief Executive Officer, Director"
Honda Motor,121624,2869.9,162211,0,208399,Motor Vehicles and Parts,Tokyo,0,Japan,Asia,Developed ,HMC   ,"President, Chief Executive Officer"
China Vanke,29329,2883.2,94168,0,42295,Real Estate,Shenzhen,0,China,Asia,Growth,0,President
Banco Bilbao Vizcaya Argentaria,42968,2930.7,814735,0,137968,Banks: Commercial and Savings,Bilbao,0,Spain,Europe,Developed ,BBVA  ,Chief Executive Officer
Orange,44651,2941.8,99311,0,156191,Telecommunications,Paris,0,France,Europe,Developed ,ORAN  ,"Chairman, Chief Executive Officer"
General Dynamics,31469,2965,31997,40286,99900,Aerospace and Defense,Falls Church,Virginia,U.S.,N. America,Developed ,GD    ,"Chairman, Chief Executive Officer"
Airbus Group,71493,2990.6,115877,0,136574,Aerospace and Defense,Leiden,0,Netherlands,Europe,Developed ,EADSY ,"Chief Executive Officer, Airbus,  Airbus Foundation, Director"
Continental,43519,3025.4,35666,0,207899,Motor Vehicles and Parts,Hanover,0,Germany,Europe,Developed ,CTTAY ,"Executive, Board Member, President, Chief Executive Officer"
Intesa Sanpaolo,42239,3038.3,734810,0,90807,Banks: Commercial and Savings,Turin,0,Italy,Europe,Developed ,ISNPY ,"Managing Director, Chief Executive Officer"
Telefónica,60917,3045,133574,0,129890,Telecommunications,Madrid,0,Spain,Europe,Developed ,TEF   ,"Chairman, Chief Executive Officer"
Accenture,32914,3053.6,18266,0,358000,Information Technology Services,Dublin,0,Ireland,Europe,Developed ,ACN   ,"Chairman, Chief Executive Officer, Director"
People's Insurance Co. of China,64606,3109.6,129892,0,172213,Insurance: Property and Casualty (Stock),Beijing,0,China,Asia,Growth,PINXY ,General Manager
